gene_name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3
ENSG00000198879.11	3086	3248	2803	4299	3101	2796
ENSG00000235141.1	0	1	1	1	0	0
ENSG00000278982.1	14	17	8	19	11	9
ENSG00000232591.1	0	0	0	0	0	0
ENSG00000207453.1	0	0	0	0	0	0
ENSG00000230121.1	0	0	0	0	0	0
ENSG00000123243.14	4	10	6	6	10	7
ENSG00000151655.18	36	48	28	29	58	39
ENSG00000151657.11	819	901	815	961	890	772
ENSG00000165629.19	11155	12752	12169	12178	12521	11316
ENSG00000165632.7	927	1187	1144	1106	1189	1132
ENSG00000233990.1	0	1	0	0	0	0
ENSG00000107485.16	375	317	342	344	258	337
ENSG00000197308.9	3	2	5	4	3	2
ENSG00000232638.1	6	2	0	2	1	3
ENSG00000225053.1	0	0	0	0	0	0
ENSG00000232170.5	0	0	0	0	0	0
ENSG00000226861.1	0	0	0	0	0	0
ENSG00000226990.1	0	0	0	0	0	0
ENSG00000271251.1	0	0	0	0	0	0
ENSG00000213771.3	61	26	29	39	31	26
ENSG00000236420.1	0	0	0	1	0	0
ENSG00000212505.1	0	0	0	0	0	0
ENSG00000270234.1	0	0	0	0	0	0
ENSG00000234752.1	0	0	0	0	0	0
ENSG00000223808.1	0	0	0	0	0	0
ENSG00000230014.1	0	0	0	0	0	0
ENSG00000235838.1	2	0	1	0	0	0
ENSG00000228636.2	0	0	0	0	0	0
ENSG00000224788.1	0	0	0	0	0	0
ENSG00000229919.3	2	4	2	3	1	1
ENSG00000200849.1	0	0	0	0	0	0
ENSG00000272436.1	0	0	0	0	0	0
ENSG00000234306.1	0	0	0	0	0	0
ENSG00000279575.1	0	0	0	0	0	0
ENSG00000270111.2	0	1	0	0	0	0
ENSG00000228997.1	0	0	0	0	0	0
ENSG00000225383.7	0	1	2	0	0	0
ENSG00000048740.18	1	4	6	3	3	5
ENSG00000229240.8	0	0	0	0	0	0
ENSG00000231496.1	0	0	0	0	0	0
ENSG00000228027.1	0	0	0	0	0	0
ENSG00000229206.3	0	0	0	0	0	0
ENSG00000237986.3	0	0	0	0	0	0
ENSG00000230322.1	0	0	0	0	0	0
ENSG00000181800.5	0	0	0	0	0	0
ENSG00000280086.1	0	0	0	0	0	0
ENSG00000148429.14	1912	1969	1820	2034	1910	1802
ENSG00000271360.1	1	2	0	4	3	1
ENSG00000271046.1	1	0	0	0	0	0
ENSG00000134463.14	391	389	390	428	410	366
ENSG00000148426.12	925	1052	1095	999	956	1164
ENSG00000225778.5	3	1	0	1	1	0
ENSG00000151461.19	3511	3728	3818	4023	3975	3587
ENSG00000251957.1	0	0	0	0	0	0
ENSG00000181192.11	2161	2410	1849	2512	2312	1875
ENSG00000272507.1	0	1	0	0	0	0
ENSG00000065665.20	1346	1322	1162	1276	1130	1094
ENSG00000265653.1	0	0	0	0	0	0
ENSG00000165609.12	6701	7542	7427	7518	7453	6764
ENSG00000151465.13	6864	8174	7551	7557	8072	7285
ENSG00000228302.2	21	21	4	19	12	9
ENSG00000264036.2	0	0	0	0	0	0
ENSG00000183049.12	1814	1972	1735	2492	2074	1612
ENSG00000252438.1	0	1	0	0	0	0
ENSG00000252118.1	0	0	0	0	0	0
ENSG00000285994.1	0	0	0	2	0	0
ENSG00000263584.1	0	0	0	0	0	0
ENSG00000283699.1	0	0	0	0	0	0
ENSG00000221331.1	0	0	0	0	0	0
ENSG00000285520.1	0	0	0	0	0	0
ENSG00000151468.10	88	122	78	75	97	92
ENSG00000212499.1	0	0	0	0	0	0
ENSG00000225251.1	1	0	2	1	0	2
ENSG00000123240.16	3089	3362	2947	2900	3071	2836
ENSG00000235763.1	0	1	0	2	0	0
ENSG00000234175.1	0	0	0	0	1	0
ENSG00000228330.1	0	0	0	0	0	0
ENSG00000203414.2	1	1	3	1	1	0
ENSG00000237540.1	0	0	0	0	0	0
ENSG00000065328.16	3451	4129	3980	4005	4236	3715
ENSG00000272055.1	277	194	124	245	218	208
ENSG00000165623.9	0	0	0	0	0	1
ENSG00000107537.13	1555	1640	1456	1757	1663	1323
ENSG00000226209.1	0	0	0	0	0	1
ENSG00000086475.14	5322	5631	5354	5867	5497	5034
ENSG00000233256.1	0	0	0	0	0	0
ENSG00000165626.17	698	777	777	851	765	688
ENSG00000202508.1	0	0	0	0	0	0
ENSG00000227175.1	0	0	0	0	0	0
ENSG00000165630.13	524	544	487	522	547	485
ENSG00000227474.1	2	1	1	1	0	0
ENSG00000282246.1	0	0	0	0	0	0
ENSG00000239665.8	314	269	289	391	267	277
ENSG00000151474.22	407	361	314	392	311	308
ENSG00000273474.1	2	3	2	7	2	0
ENSG00000225112.1	0	0	0	0	0	0
ENSG00000199407.1	0	0	0	0	0	0
ENSG00000234091.1	0	0	0	0	0	0
ENSG00000215227.4	0	0	0	0	0	0
ENSG00000229751.1	0	0	0	0	0	0
ENSG00000235410.1	0	1	1	0	0	0
ENSG00000285671.1	0	1	0	0	0	0
ENSG00000266321.1	0	0	0	0	0	0
ENSG00000278100.1	0	0	0	0	0	0
