gene_name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3
ENSG00000227462	8.613264427217915e-05	1.8034048283158603e-05	6.023491617307499e-05	6.070908207867897e-05	5.199937600748791e-05	0.00010617063744850724
ENSG00000279631	0.0	0.0	0.0	6.070908207867897e-06	0.0	0.0
ENSG00000261671	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233318	0.0019744252302391838	0.0016050302972011156	0.0013251681558076498	0.0016027197668771248	0.001806978316260205	0.0017270423691623845
ENSG00000148444	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000269897	0.010574438481415226	0.009924737905164951	0.009376568617608674	0.0105330257406508	0.00956138526337684	0.010829405019747738
ENSG00000168283	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000272516	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000271981	0.0	6.011349427719534e-06	0.0	0.0	0.0	7.078042496567149e-06
ENSG00000272366	2.6502352083747433e-05	0.0	0.0	0.0	6.499922000935989e-06	7.078042496567149e-06
ENSG00000077327	0.0	6.011349427719534e-06	0.0	0.0	0.0	0.0
ENSG00000233451	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285254	0.015537003909096932	0.016074348369722036	0.014777632767794398	0.016658572122389508	0.017393791274504706	0.015968063872255488
ENSG00000150867	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000279819	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000206842	0.00021201881666997946	7.814754256035394e-05	0.00022086135930127497	0.00021855269548324427	0.00016249805002339972	0.00014863889242791014
ENSG00000165309	0.0	0.0	0.0	0.0	1.2999844001871978e-05	0.0
ENSG00000223131	0.0052474657125819914	0.004688852553621237	0.004631395776863099	0.004808159300631374	0.005037439550725391	0.004473322857830439
ENSG00000148450	0.008209103557940767	0.008421900548235068	0.009055315731352273	0.0076432734337056815	0.008404399147210233	0.008904177460681473
ENSG00000229932	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000252049	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000168267	7.95070562512423e-05	4.207944599403674e-05	4.015661078204999e-05	7.285089849441476e-05	3.8999532005615936e-05	4.2468254979402894e-05
ENSG00000179133	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227537	4.6379116146558006e-05	3.6068096566317206e-05	2.0078305391024995e-05	3.642544924720738e-05	2.5999688003743955e-05	7.078042496567149e-06
ENSG00000224215	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000264574	0.001775657589611078	0.0017913821294604213	0.0014054813773717498	0.0017180670228266147	0.001741979096250845	0.0013943743718237284
ENSG00000165312	0.002902007553170344	0.0025488121573530825	0.0033196131579827995	0.00294439048081593	0.002794966460402475	0.003086026528503277
ENSG00000120549	6.625588020936858e-06	0.0	0.0	6.070908207867897e-06	0.0	0.0
ENSG00000223928	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000277563	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000207930	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000279029	0.03667925528390645	0.03544291622583438	0.032660710102734	0.03792496357455075	0.03604206749519006	0.03151144519471695
ENSG00000107863	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000199535	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285750	0.01041542436891274	0.010958690006732712	0.010507646487969749	0.009919864011656144	0.011660860069679164	0.010362254214974307
ENSG00000099256	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228667	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000240294	0.00029152587292122174	0.0002103972299701837	0.00016062644312819996	0.00021855269548324427	0.00014949820602152774	0.0002406534448832831
ENSG00000285859	0.00011926058437686345	9.618159084351255e-05	0.00011377706388247499	0.00010320543953375424	9.099890801310385e-05	8.493650995880579e-05
ENSG00000273107	0.00025839793281653745	0.00022843127825334232	0.00018070474851922497	0.00025497814473045163	0.0003314960220477354	0.00035390212482835746
ENSG00000151023	0.004034983104750547	0.003943445224584015	0.0042699862798246495	0.004219281204468188	0.004380947428630856	0.004317605922905961
ENSG00000185875	0.0	0.0	0.0	0.0	0.0	7.078042496567149e-06
ENSG00000231422	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233642	0.0	4.207944599403674e-05	1.3385536927349998e-05	1.821272462360369e-05	1.2999844001871978e-05	4.2468254979402894e-05
ENSG00000151025	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000274242	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000222543	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227465	2.6502352083747433e-05	6.0113494277195344e-05	6.023491617307499e-05	1.2141816415735793e-05	3.249961000467994e-05	1.4156084993134299e-05
ENSG00000280809	0.0	0.0	0.0	0.0	0.0	0.0
